lambda_c w_mob value
1.5607 4.7536 0.5250
2.9548 2.9933 0.4667
0.7085 0.7800 0.3000
0.3265 4.3309 0.5917
2.4443 3.5404 0.4583
0.1803 4.8495 0.5833
3.3465 1.0617 0.4833
0.8091 0.9170 0.3833
1.2865 2.6238 0.6167
1.7846 1.4561 0.5250
3.8099 2.3666 0.3917
1.2621 3.8383 0.6333
1.5535 2.1779 0.5833
1.0962 3.6512 0.5667
2.1260 0.0659 0.4583
1.1950 2.7926 0.6167
2.4587 3.7460 0.5167
1.9522 2.0987 0.5917
1.3135 4.2135 0.5417
0.6963 2.9097 0.6250
0.6201 3.4477 0.5000
1.0530 2.8771 0.6333
0.9585 3.2692 0.6333
0.9821 3.2240 0.6333
0.4291 4.1392 0.5750
1.5996 1.6996 0.5333
0.9716 4.0419 0.5667
2.1709 3.2234 0.4583
0.5190 2.4880 0.7083
0.4667 4.5742 0.5667
