c w_H value
1.2491 7.9695 0.7083
1.9640 1.5751 0.5917
0.8120 0.2051 0.6167
0.6162 5.3995 0.6500
1.7022 2.6070 0.6000
0.5412 8.7060 0.7167
2.1649 0.2659 0.4417
0.8636 0.2327 0.5083
1.1085 1.1208 0.5417
1.3639 0.3823 0.5250
2.4050 0.1028 0.4833
1.4363 8.8076 0.6667
0.5590 4.7183 0.6583
1.1247 9.3643 0.6333
1.6411 3.9493 0.6083
1.0615 2.4792 0.6083
0.8426 9.7737 0.6667
1.3467 0.7872 0.5417
1.7679 5.8258 0.5417
0.5245 2.5182 0.7167
0.6797 2.3937 0.6333
0.5534 3.7927 0.6833
0.9726 6.4011 0.5833
0.5051 1.7282 0.6583
0.7213 0.7004 0.6500
1.1930 3.2686 0.5917
0.9368 6.6710 0.6667
1.4942 1.6383 0.5083
0.7367 7.1078 0.6333
1.8774 4.5128 0.5750
